age,gender,height,weight,goal,focus,limitations,intensity,duration,plan_template_id
20,Male,185.0,134.3,keep_fit,arms,none,normal,60,keep_fit_endurance
74,Male,188.4,87.6,gain_mass,abs,joints,normal,15,muscle_low_impact
30,Female,155.4,81.2,gain_mass,arms,joints,low,45,muscle_low_impact
16,Male,193.0,130.4,lose_weight,chest,joints,normal,30,kids_active_play_safe
71,Female,172.0,69.1,lose_weight,arms,none,normal,10,fat_loss_general
71,Male,185.5,136.4,lose_weight,chest,none,low,15,fat_loss_low_impact
69,Male,174.8,128.8,gain_mass,arms,none,normal,45,muscle_home_basic
57,Male,180.6,120.6,lose_weight,full,none,normal,15,fat_loss_general
33,Female,163.1,89.0,gain_mass,arms,none,low,20,muscle_low_impact
45,Female,160.6,98.6,keep_fit,arms,joints,high,10,keep_fit_low_impact
32,Male,198.6,96.6,lose_weight,abs,none,normal,60,fat_loss_general
21,Male,177.3,112.7,gain_mass,legs,none,high,45,muscle_gym_progressive
31,Male,169.2,120.1,gain_mass,arms,joints,normal,15,muscle_low_impact
35,Female,158.1,55.9,lose_weight,legs,joints,high,10,fat_loss_low_impact
58,Male,163.5,132.8,lose_weight,abs,none,low,10,fat_loss_low_impact
47,Male,195.2,123.2,lose_weight,full,none,normal,10,fat_loss_general
59,Male,190.4,118.5,keep_fit,legs,none,low,45,keep_fit_low_impact
31,Male,161.4,78.6,keep_fit,full,none,low,30,keep_fit_low_impact
32,Male,186.6,96.0,lose_weight,full,none,low,20,fat_loss_low_impact
52,Male,160.5,115.3,keep_fit,legs,none,normal,15,keep_fit_balanced
67,Male,186.9,139.7,gain_mass,abs,joints,normal,30,muscle_low_impact
64,Female,168.9,93.0,lose_weight,arms,none,low,20,fat_loss_low_impact
30,Male,199.1,108.0,gain_mass,abs,none,low,60,muscle_low_impact
80,Male,176.4,85.8,gain_mass,chest,none,high,30,muscle_gym_progressive
35,Female,179.9,103.0,gain_mass,chest,joints,normal,45,muscle_low_impact
16,Female,160.6,48.4,lose_weight,abs,none,normal,10,kids_active_play_safe
15,Female,170.7,76.3,keep_fit,abs,none,normal,10,kids_active_play_safe
60,Male,181.1,73.7,gain_mass,legs,none,low,60,muscle_low_impact
29,Female,168.1,83.2,lose_weight,abs,none,normal,15,fat_loss_general
35,Male,180.5,63.7,gain_mass,full,none,high,30,muscle_gym_progressive
44,Male,164.9,76.4,gain_mass,chest,none,normal,60,muscle_home_basic
14,Female,161.5,62.9,lose_weight,arms,none,low,60,kids_active_play_safe
56,Male,187.0,68.1,keep_fit,chest,none,normal,45,keep_fit_endurance
75,Male,197.6,82.7,lose_weight,legs,none,normal,15,fat_loss_general
68,Female,168.6,62.2,keep_fit,full,none,high,10,keep_fit_endurance
80,Male,173.4,87.6,keep_fit,full,none,low,20,keep_fit_low_impact
21,Female,151.9,45.9,lose_weight,full,joints,high,15,fat_loss_low_impact
29,Female,175.1,84.6,lose_weight,full,none,low,20,fat_loss_low_impact
42,Female,152.6,50.0,lose_weight,legs,none,normal,15,fat_loss_general
62,Male,178.7,138.5,gain_mass,chest,none,low,10,muscle_low_impact
26,Female,180.8,67.9,lose_weight,chest,none,normal,15,fat_loss_general
16,Female,156.0,49.9,keep_fit,legs,none,normal,60,kids_active_play_safe
48,Male,173.4,138.1,gain_mass,abs,none,normal,20,muscle_home_basic
26,Female,163.1,84.1,gain_mass,legs,none,low,20,muscle_low_impact
49,Female,175.8,106.0,gain_mass,abs,none,normal,20,muscle_home_basic
37,Male,165.5,130.5,keep_fit,abs,none,high,45,keep_fit_endurance
18,Female,150.1,79.2,gain_mass,abs,none,normal,20,muscle_home_basic
45,Male,186.5,114.0,keep_fit,full,none,normal,15,keep_fit_balanced
76,Male,161.4,54.7,lose_weight,legs,none,high,60,fat_loss_cardio_focus
51,Male,173.5,67.8,gain_mass,abs,none,low,60,muscle_low_impact
77,Female,155.0,95.0,lose_weight,arms,none,normal,45,fat_loss_general
74,Female,170.9,107.9,gain_mass,legs,none,normal,20,muscle_home_basic
74,Male,191.5,57.5,keep_fit,full,joints,low,10,keep_fit_low_impact
75,Female,153.6,67.2,gain_mass,chest,none,low,10,muscle_low_impact
55,Male,179.1,123.3,keep_fit,legs,none,low,30,keep_fit_low_impact
44,Male,169.1,115.4,gain_mass,legs,none,normal,15,muscle_home_basic
42,Female,166.0,75.7,gain_mass,chest,none,low,30,muscle_low_impact
46,Female,166.4,118.1,keep_fit,abs,none,high,45,keep_fit_endurance
65,Female,172.5,61.6,keep_fit,legs,joints,high,45,keep_fit_low_impact
75,Female,183.0,110.2,keep_fit,abs,none,normal,15,keep_fit_balanced
58,Female,163.0,93.3,gain_mass,full,none,high,15,muscle_gym_progressive
78,Male,171.5,66.4,keep_fit,abs,joints,normal,15,keep_fit_low_impact
61,Male,183.8,120.6,gain_mass,full,none,low,45,muscle_low_impact
70,Male,177.1,54.1,gain_mass,arms,none,normal,45,muscle_home_basic
45,Female,154.0,49.4,keep_fit,abs,joints,normal,45,keep_fit_low_impact
30,Female,170.0,46.3,keep_fit,abs,none,normal,45,keep_fit_endurance
44,Male,170.2,65.4,gain_mass,arms,none,normal,60,muscle_home_basic
45,Female,168.5,111.1,lose_weight,chest,none,high,15,fat_loss_general
58,Female,172.4,90.1,lose_weight,legs,none,low,60,fat_loss_low_impact
37,Male,175.3,124.3,gain_mass,legs,none,normal,30,muscle_home_basic
50,Male,191.4,88.1,keep_fit,chest,joints,low,15,keep_fit_low_impact
32,Female,169.6,80.7,keep_fit,arms,none,low,30,keep_fit_low_impact
59,Male,184.2,64.6,gain_mass,arms,none,high,30,muscle_gym_progressive
52,Male,171.9,109.5,gain_mass,legs,none,high,10,muscle_gym_progressive
37,Female,164.1,69.8,lose_weight,chest,none,high,45,fat_loss_general
37,Male,196.7,128.2,gain_mass,legs,none,high,15,muscle_gym_progressive
57,Female,166.4,112.8,lose_weight,chest,joints,high,60,fat_loss_low_impact
45,Female,178.9,109.9,gain_mass,arms,none,high,60,muscle_gym_progressive
73,Male,193.2,111.1,lose_weight,legs,joints,high,15,fat_loss_low_impact
29,Male,180.4,58.1,lose_weight,abs,none,normal,30,fat_loss_general
70,Female,179.4,96.7,gain_mass,legs,none,high,20,muscle_gym_progressive
57,Female,177.9,76.5,gain_mass,chest,none,high,60,muscle_gym_progressive
64,Male,193.7,96.7,lose_weight,arms,none,normal,20,fat_loss_general
72,Male,165.9,93.0,lose_weight,arms,none,normal,20,fat_loss_general
52,Male,192.0,58.6,keep_fit,chest,none,normal,60,keep_fit_endurance
68,Female,175.7,60.4,keep_fit,legs,none,low,30,keep_fit_low_impact
49,Male,189.8,136.3,gain_mass,chest,joints,normal,15,muscle_low_impact
69,Male,192.8,107.9,lose_weight,full,joints,low,10,fat_loss_low_impact
19,Male,171.3,90.6,lose_weight,full,none,normal,30,fat_loss_general
51,Female,163.2,76.4,gain_mass,abs,none,high,45,muscle_gym_progressive
47,Female,169.9,73.0,keep_fit,full,none,low,20,keep_fit_low_impact
25,Male,192.5,87.3,lose_weight,chest,none,normal,45,fat_loss_general
29,Female,171.0,111.2,lose_weight,abs,none,normal,30,fat_loss_general
20,Female,153.4,81.5,keep_fit,full,none,high,60,keep_fit_endurance
32,Male,184.3,109.7,keep_fit,arms,none,normal,10,keep_fit_balanced
63,Female,168.1,113.5,lose_weight,arms,none,low,30,fat_loss_low_impact
36,Female,172.8,54.2,lose_weight,arms,none,normal,60,fat_loss_general
69,Female,178.9,45.3,lose_weight,arms,none,high,30,fat_loss_general
80,Female,178.2,71.8,keep_fit,abs,none,low,45,keep_fit_low_impact
63,Female,178.6,45.5,lose_weight,abs,none,low,10,fat_loss_low_impact
48,Male,163.9,58.6,lose_weight,legs,none,high,45,fat_loss_cardio_focus
74,Male,197.0,110.1,keep_fit,full,none,low,60,keep_fit_low_impact
71,Female,171.8,91.2,keep_fit,abs,none,normal,45,keep_fit_endurance
25,Female,156.7,51.9,lose_weight,abs,joints,low,60,fat_loss_low_impact
64,Male,195.8,130.6,keep_fit,abs,joints,low,60,keep_fit_low_impact
38,Male,192.1,54.8,keep_fit,arms,none,low,15,keep_fit_low_impact
62,Male,177.4,91.4,keep_fit,chest,none,normal,60,keep_fit_endurance
80,Male,177.1,75.8,lose_weight,full,none,low,20,fat_loss_low_impact
52,Female,177.8,66.0,gain_mass,full,none,normal,45,muscle_home_basic
33,Male,181.8,97.8,gain_mass,full,none,high,15,muscle_gym_progressive
51,Female,158.2,100.7,lose_weight,full,joints,low,10,fat_loss_low_impact
75,Male,169.6,52.0,lose_weight,arms,none,low,15,fat_loss_low_impact
24,Female,184.3,57.7,lose_weight,full,none,low,10,fat_loss_low_impact
66,Male,192.0,124.9,lose_weight,legs,none,high,45,fat_loss_cardio_focus
18,Male,188.4,85.0,lose_weight,chest,none,low,10,fat_loss_low_impact
28,Male,190.8,54.6,keep_fit,abs,none,high,60,keep_fit_endurance
31,Male,183.5,89.3,lose_weight,full,none,high,45,fat_loss_cardio_focus
27,Male,160.1,67.3,lose_weight,abs,joints,high,15,fat_loss_low_impact
59,Male,191.3,87.3,lose_weight,full,none,high,10,fat_loss_cardio_focus
58,Male,164.5,66.2,gain_mass,abs,none,high,45,muscle_gym_progressive
59,Female,157.2,115.8,keep_fit,full,none,high,45,keep_fit_endurance
58,Male,175.6,96.2,lose_weight,legs,none,normal,45,fat_loss_general
65,Male,173.0,92.7,lose_weight,chest,none,low,60,fat_loss_low_impact
41,Male,162.0,114.1,lose_weight,chest,none,low,20,fat_loss_low_impact
47,Male,197.3,71.4,lose_weight,chest,none,high,20,fat_loss_general
46,Female,170.5,97.4,lose_weight,abs,none,low,10,fat_loss_low_impact
66,Female,151.4,61.3,keep_fit,arms,none,low,10,keep_fit_low_impact
49,Female,172.4,96.1,lose_weight,abs,joints,normal,45,fat_loss_low_impact
58,Female,162.2,87.2,keep_fit,arms,joints,low,45,keep_fit_low_impact
61,Female,183.1,86.2,lose_weight,arms,none,normal,15,fat_loss_general
47,Female,181.7,106.2,keep_fit,arms,none,normal,45,keep_fit_endurance
23,Female,178.2,67.8,keep_fit,arms,none,low,20,keep_fit_low_impact
66,Male,174.0,107.6,gain_mass,full,none,normal,20,muscle_home_basic
71,Female,166.9,76.4,lose_weight,abs,none,high,20,fat_loss_general
14,Male,160.3,111.8,lose_weight,legs,none,high,45,kids_active_play_safe
29,Female,161.3,81.0,gain_mass,legs,none,high,15,muscle_gym_progressive
76,Male,194.7,81.1,keep_fit,chest,none,normal,60,keep_fit_endurance
16,Female,182.1,56.4,gain_mass,legs,none,normal,20,kids_active_play_safe
60,Female,164.9,59.4,keep_fit,chest,none,normal,45,keep_fit_endurance
32,Female,178.8,62.5,gain_mass,full,none,high,15,muscle_gym_progressive
67,Female,164.8,50.3,keep_fit,arms,none,high,60,keep_fit_endurance
17,Male,170.5,139.5,lose_weight,full,none,normal,45,kids_active_play_safe
47,Female,171.5,115.8,keep_fit,legs,none,normal,15,keep_fit_balanced
80,Female,167.9,91.5,gain_mass,chest,none,high,10,muscle_gym_progressive
56,Male,166.3,78.1,lose_weight,arms,joints,normal,10,fat_loss_low_impact
29,Male,182.2,131.8,gain_mass,legs,none,low,60,muscle_low_impact
74,Male,184.0,117.1,gain_mass,full,none,low,20,muscle_low_impact
64,Male,169.0,121.1,keep_fit,chest,none,normal,10,keep_fit_balanced
65,Male,183.8,111.5,lose_weight,chest,none,normal,10,fat_loss_general
38,Male,194.0,72.1,keep_fit,abs,none,low,15,keep_fit_low_impact
43,Female,159.7,46.7,lose_weight,abs,joints,low,60,fat_loss_low_impact
74,Female,169.2,48.7,gain_mass,abs,none,high,15,muscle_gym_progressive
49,Male,170.5,127.9,gain_mass,full,none,high,15,muscle_gym_progressive
41,Male,165.1,127.0,lose_weight,full,none,high,15,fat_loss_cardio_focus
34,Male,181.0,53.9,gain_mass,arms,none,low,20,muscle_low_impact
71,Female,181.3,76.6,keep_fit,chest,none,high,45,keep_fit_endurance
68,Female,167.3,88.6,lose_weight,legs,none,normal,20,fat_loss_general
36,Female,173.8,108.9,keep_fit,full,none,normal,45,keep_fit_endurance
61,Female,180.7,69.1,keep_fit,arms,none,low,15,keep_fit_low_impact
66,Male,162.9,106.1,gain_mass,chest,none,high,45,muscle_gym_progressive
65,Female,165.9,69.0,keep_fit,arms,none,low,10,keep_fit_low_impact
35,Female,179.1,47.3,keep_fit,legs,joints,normal,30,keep_fit_low_impact
37,Female,166.5,92.8,gain_mass,full,none,high,60,muscle_gym_progressive
27,Male,193.4,61.3,keep_fit,full,none,normal,60,keep_fit_endurance
54,Male,165.3,75.8,gain_mass,legs,none,low,30,muscle_low_impact
37,Female,159.0,94.4,keep_fit,full,joints,high,45,keep_fit_low_impact
59,Male,162.4,70.3,lose_weight,abs,none,low,60,fat_loss_low_impact
43,Male,176.1,62.0,lose_weight,abs,none,high,10,fat_loss_general
44,Male,161.4,127.9,keep_fit,full,none,normal,15,keep_fit_balanced
44,Female,172.1,72.4,lose_weight,chest,joints,normal,20,fat_loss_low_impact
60,Female,160.6,85.3,keep_fit,abs,joints,low,60,keep_fit_low_impact
26,Male,168.7,137.6,gain_mass,legs,none,high,15,muscle_gym_progressive
59,Male,171.0,120.5,lose_weight,chest,joints,high,30,fat_loss_low_impact
48,Male,161.9,53.6,gain_mass,chest,joints,normal,15,muscle_low_impact
